"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","DECADES"
26348,1955,"CA","USF","SRF","QUINN","00000000","1955/09/04 00:00:01+00","",2,NA,1,113.94859,1950
26349,1955,"CA","USF","SRF","WIRE GRASS","00000000","1955/08/21 00:00:01+00","",2,NA,1,18.989037,1950
26350,1957,"CA","CDF","LNU","HIGHWAY 20 #10","00000000","1957/08/03 00:00:01+00","",14,NA,1,298.5285,1950
26351,1957,"CA","CDF","LNU","J. STEGGE","00000000","1957/07/07 00:00:01+00","",14,NA,1,251.18642,1950
26352,1957,"CA","CDF","MMU","KATES-BUNNING","00000000","1957/08/17 00:00:01+00","",14,NA,1,759.38593,1950
26504,1951,"CA","CDF","LMU","WILLOW CREEK","00000000","1951/09/12 00:00:01+00","",9,NA,1,1829.6069,1950
26505,1951,"CA","CDF","NEU","WIZWELL","00000000","1951/07/22 00:00:01+00","",14,NA,1,1049.7963,1950
26506,1951,"CA","CDF","MEU","WM. HAPPY","00000000","1951/09/08 00:00:01+00","",14,NA,1,2591.9912,1950
26507,1951,"CA","CDF","LNU","WOLF RIDGE","00000000","1951/08/19 00:00:01+00","",14,NA,1,879.71027,1950
26508,1951,"CA","CDF","LNU","WRAGG CANYON","00000000","1951/09/11 00:00:01+00","",14,NA,1,1178.3538,1950
26509,1951,"CA","CDF","MMU","ARNOLD SALLABERRY","00000000","1951/06/04 00:00:01+00","",14,NA,1,367.53333,1950
26510,1951,"CA","CDF","MMU","BATES","00000000","1951/05/28 00:00:01+00","",14,NA,1,140.07034,1950
26511,1952,"CA","CDF","BDU","EAST","00000000","1952/08/24 00:00:01+00","",14,NA,1,546.00842,1950
26512,1952,"CA","CDF","SLU","BONNHEIM","00000000","1952/07/23 00:00:01+00","",14,NA,1,402.45517,1950
26513,1952,"CA","CDF","SLU","BONNHEIM #2","00000000","1952/09/24 00:00:01+00","",14,NA,1,515.07355,1950
26514,1952,"CA","CDF","SLU","HEILMAN","00000000","1952/08/31 00:00:01+00","",14,NA,1,463.49673,1950
